,Gmt time,Open,High,Low,Close,Volume,Close_7,True_Close_7,buy_profit,sell_profit
1719.0,16.09.2015 00:00:00.000,1.12701,1.13204,1.1214,1.12907,166865.5781,1.1384755,1.118,-0.011069999999999913,0.0
1723.0,20.09.2015 00:00:00.000,1.12807,1.12975,1.12807,1.12906,9704.9697,1.1350633,1.12292,-0.006140000000000034,0.0
1725.0,22.09.2015 00:00:00.000,1.11881,1.12075,1.11132,1.11203,166624.6563,1.1219296,1.11704,0.005009999999999959,0.0
1727.0,24.09.2015 00:00:00.000,1.11874,1.12958,1.116,1.118,189413.9531,1.1199809,1.12065,0.002649999999999819,0.0
1731.0,28.09.2015 00:00:00.000,1.11993,1.12477,1.11468,1.12292,182715.5,1.1151713,1.12676,0.0,-0.0038400000000000656
1732.0,29.09.2015 00:00:00.000,1.12293,1.12813,1.11939,1.1253,206660.0625,1.1190909,1.12378,0.0,0.0015199999999999658
1733.0,30.09.2015 00:00:00.000,1.12531,1.12614,1.11574,1.11704,189017.375,1.1159046,1.12844,0.0,-0.011400000000000077
1738.0,05.10.2015 00:00:00.000,1.1219,1.12892,1.11734,1.11952,159890.6406,1.127975,1.13833,0.018809999999999993,0.0
1745.0,12.10.2015 00:00:00.000,1.13675,1.13968,1.13517,1.13518,121164.9375,1.1358936,1.13543,0.00024999999999986144,0.0
1747.0,14.10.2015 00:00:00.000,1.13836,1.14891,1.13832,1.14736,180400.375,1.1368738,1.10818,0.0,0.03917999999999999
1767.0,03.11.2015 00:00:00.000,1.10145,1.10301,1.09363,1.09617,162700.7813,1.1009197,1.07633,-0.01984000000000008,0.0
1777.0,13.11.2015 00:00:00.000,1.08082,1.08094,1.0714,1.07701,176144.2031,1.0695684,1.06372,0.0,0.013290000000000024
1796.0,02.12.2015 00:00:00.000,1.06263,1.06324,1.05508,1.06104,218342.5625,1.0931185,1.09468,0.033640000000000114,0.0
1809.0,15.12.2015 00:00:00.000,1.09912,1.10596,1.09046,1.09338,209032.3125,1.0998775,1.0908,-0.0025800000000000267,0.0
1822.0,28.12.2015 00:00:00.000,1.09642,1.09923,1.09559,1.09745,118917.7031,1.089138,1.07766,0.0,0.019789999999999974
1823.0,29.12.2015 00:00:00.000,1.09746,1.09917,1.08991,1.09256,130524.5938,1.089461,1.09255,0.0,1.0000000000065512e-05
1847.0,22.01.2016 00:00:00.000,1.08581,1.08629,1.07892,1.07947,335113.9063,1.1053259,1.08253,0.0030600000000000627,0.0
1858.0,02.02.2016 00:00:00.000,1.08957,1.09399,1.08924,1.09184,289006.9688,1.1088572,1.12838,0.03654000000000002,0.0
1867.0,11.02.2016 00:00:00.000,1.12839,1.13762,1.12741,1.13159,412261.4375,1.1227777,1.11284,0.0,0.018750000000000044
1871.0,15.02.2016 00:00:00.000,1.12232,1.12389,1.1128,1.11762,258790.3125,1.1127944,1.10234,0.0,0.01527999999999996
1872.0,16.02.2016 00:00:00.000,1.11762,1.11931,1.11242,1.11429,327288.6875,1.1104283,1.1014,0.0,0.012890000000000068
1873.0,17.02.2016 00:00:00.000,1.1143,1.1179,1.1106,1.11204,338320.0,1.1095766,1.10231,0.0,0.009730000000000016
1874.0,18.02.2016 00:00:00.000,1.11205,1.11497,1.1071,1.11075,344235.1875,1.1059667,1.093,0.0,0.017749999999999932
