,Gmt time,Open,High,Low,Close,Volume
1346,08.09.2014 00:00:00.000,1.29518,1.2959,1.28814,1.28912,183427.6563
1347,09.09.2014 00:00:00.000,1.28912,1.29574,1.28594,1.2941,205611.6563
1348,10.09.2014 00:00:00.000,1.29409,1.29629,1.28838,1.29167,199871.3281
1349,11.09.2014 00:00:00.000,1.29166,1.29517,1.2897,1.29224,200440.7344
1350,12.09.2014 00:00:00.000,1.29224,1.29793,1.29088,1.29616,180754.6563
1352,14.09.2014 00:00:00.000,1.29719,1.29727,1.29587,1.29595,11712.7695
1353,15.09.2014 00:00:00.000,1.29595,1.29691,1.29086,1.29384,174640.5156
1354,16.09.2014 00:00:00.000,1.29385,1.2995,1.29223,1.29579,197708.9531
1355,17.09.2014 00:00:00.000,1.29579,1.29813,1.28344,1.28488,193535.125
1356,18.09.2014 00:00:00.000,1.28489,1.29302,1.28485,1.29202,194257.0313
1357,19.09.2014 00:00:00.000,1.29202,1.29288,1.28275,1.28279,185911.0625
1359,21.09.2014 00:00:00.000,1.28331,1.28442,1.28257,1.28398,8051.0801
1360,22.09.2014 00:00:00.000,1.28396,1.28677,1.28162,1.28501,147082.7031
1361,23.09.2014 00:00:00.000,1.28501,1.29012,1.28394,1.28488,167392.4375
1362,24.09.2014 00:00:00.000,1.28489,1.28636,1.27741,1.27767,172227.4531
1363,25.09.2014 00:00:00.000,1.27768,1.27832,1.2697,1.2755,190549.6563
1364,26.09.2014 00:00:00.000,1.27549,1.276,1.26769,1.26809,156861.2656
1366,28.09.2014 00:00:00.000,1.26808,1.26834,1.26664,1.26753,9593.6201
1367,29.09.2014 00:00:00.000,1.26755,1.27147,1.26636,1.269,178858.2344
1368,30.09.2014 00:00:00.000,1.26898,1.27022,1.2571,1.26279,194596.3438
1369,01.10.2014 00:00:00.000,1.2628,1.26396,1.25836,1.26216,199788.6406
1370,02.10.2014 00:00:00.000,1.26216,1.26987,1.26138,1.26681,243421.6563
1371,03.10.2014 00:00:00.000,1.26681,1.2669,1.25005,1.25142,178240.4531
1373,05.10.2014 00:00:00.000,1.25107,1.2515,1.25089,1.25124,8670.8496
1374,06.10.2014 00:00:00.000,1.25126,1.26749,1.25121,1.26432,197765.75
1375,07.10.2014 00:00:00.000,1.26431,1.26833,1.25837,1.26647,229270.25
1376,08.10.2014 00:00:00.000,1.26648,1.27548,1.26226,1.27406,233426.9375
1377,09.10.2014 00:00:00.000,1.27405,1.27913,1.2664,1.26881,227332.7031
1378,10.10.2014 00:00:00.000,1.26882,1.2716,1.26054,1.26268,185574.7344
1380,12.10.2014 00:00:00.000,1.26311,1.26474,1.26201,1.26396,10161.29
1381,13.10.2014 00:00:00.000,1.26397,1.27679,1.26336,1.27217,182377.1094
1382,14.10.2014 00:00:00.000,1.27216,1.27314,1.26315,1.26412,205727.0
1383,15.10.2014 00:00:00.000,1.26412,1.28865,1.26247,1.28202,294121.125
1384,16.10.2014 00:00:00.000,1.28202,1.28449,1.27057,1.28042,256551.8438
1385,17.10.2014 00:00:00.000,1.28043,1.28369,1.27436,1.27589,163050.9219
1387,19.10.2014 00:00:00.000,1.27507,1.27599,1.27364,1.27473,11051.5303
1388,20.10.2014 00:00:00.000,1.27473,1.28168,1.27312,1.27941,158130.9531
